Object ID,Name,Longitude,Latitude,Distance (Parsecs),Diameter (Parsecs)
18218,Alessi 1,123.2672,-13.3038,302,2.10839199
19656,Alessi 10,31.6536,-20.9888,513,1.343033928
19729,Alessi 12,67.4656,-11.508,537,3.124174608
18303,Alessi 13,238.5486,-56.9814,100,2.909702824
19500,Alessi 19,40.2164,12.7578,550,7.03987907
18339,Alessi 2,152.2918,6.3292,501,2.186038761
18186,Alessi 20,117.4752,-3.7597,450,2.618023415
18597,Alessi 21,223.437,0.0038,500,3.054364183
19348,Alessi 24,328.8934,-14.7543,500,9.600490454
18606,Alessi 3,257.9214,-15.3777,288,3.016039197
19424,Alessi 31,15.1977,7.6544,650,3.403423144
18567,Alessi 33,237.8828,-9.6045,750,6.545150843
18758,Alessi 34,264.9227,-10.4438,1100,7.679573474
19818,Alessi 37,101.7346,-11.4833,600,3.141621363
19533,Alessi 40,13.9074,-5.601,800,6.004045351
30727,Alessi 43,262.5038,1.4779,850,5.934215866
19613,Alessi 44,40.208,-10.641,500,5.759841294
19000,Alessi 5,288.0832,-2.0497,398,1.910277535
26828,Alessi 56,43.2108,0.967,3900,1.247910458
26846,Alessi 57,50.1969,0.7653,3900,1.41808008
19237,Alessi 8,326.4865,4.2607,575,2.007136792
19386,Alessi 9,344.2881,-8.9685,211,4.604036378
19836,Alessi J2327+55,111.2293,-5.3655,1000,3.665207842
26943,Alessi-Teutsch 11,87.4576,9.2775,550,2.111858774
26611,Alessi-Teutsch 12,330.6618,-10.334,700,6.719724022
18735,Alessi-Teutsch 3,266.4551,-12.8466,800,5.026614394
19794,Alessi-Teutsch 5,104.4508,4.1477,900,3.298687057
18814,Alessi-Teutsch 7,258.2955,0.2747,900,7.854181012
19081,Alessi-Teutsch 8,297.0692,1.3932,650,2.268937243
18298,Alessi-Teutsch 9,155.7355,-17.7959,700,5.864443484
19359,Antalova 1,355.8565,1.6437,1250,6.36323453
18685,Arp-Madore 2,248.1255,-5.8761,13341,3.880739701
30011,ASCC 1,118.1525,0.1971,4000,13.96269073
31437,ASCC 100,64.377,12.6628,350,1.893700717
